state,latitude,longitude,pm2_5,pm10,ground_timestamp,mean_no2,mean_co,mean_so2,mean_o3,satellite_window
Andaman and Nicobar Islands,11.6724,92.7359,6.2,12.5,2025-07-03T13:33:53Z,4.7418428443558354e-05,0.0237703036163742,3.911510449355373e-05,0.1249223499339854,2025-06-23 to 2025-07-03
Andhra Pradesh,16.5062,80.648,17.6,28.5,2025-07-03T13:33:54Z,0.0001037070221637,0.0326356696668449,7.055576167425811e-05,0.1251333306041016,2025-06-23 to 2025-07-03
Arunachal Pradesh,27.0844,93.6053,5.5,5.8,2025-07-03T13:33:54Z,6.94734009370697e-05,0.0315706288406203,0.0001657532569229,0.1277795259911085,2025-06-23 to 2025-07-03
Assam,26.1433,91.7898,11.5,11.8,2025-07-03T13:33:55Z,7.299384363462456e-05,0.0345162271238222,3.763954502915391e-05,0.1276861193953601,2025-06-23 to 2025-07-03
Bihar,25.5941,85.1376,12.0,12.0,2025-07-03T13:33:55Z,7.326965177680379e-05,0.0348981317333527,-3.934754916443725e-05,0.127479735304784,2025-06-23 to 2025-07-03
Chandigarh,30.7333,76.7794,20.5,20.7,2025-07-03T13:33:56Z,9.828396586147388e-05,0.0409836087404638,5.162722014148506e-05,0.1283788237744786,2025-06-23 to 2025-07-03
Chhattisgarh,21.2514,81.6296,22.4,29.9,2025-07-03T13:33:57Z,6.581536564955003e-05,0.0332178657843416,,0.1257900429477178,2025-06-23 to 2025-07-03
Dadra and Nagar Haveli and Daman and Diu,20.3974,72.8328,18.0,52.5,2025-07-03T13:33:57Z,5.643206804227742e-05,0.0316309517817634,,0.1262497405249968,2025-06-23 to 2025-07-03
Delhi,28.6139,77.209,39.0,42.3,2025-07-03T13:33:58Z,0.0001403549565133,0.0411317470183682,7.524352626087518e-05,0.1274257196210171,2025-06-23 to 2025-07-03
Goa,15.2993,74.124,16.5,40.6,2025-07-03T13:33:58Z,5.778841553177187e-05,0.0291649150435499,-8.048773076112482e-05,0.1249519891804289,2025-06-23 to 2025-07-03
Gujarat,23.0225,72.5714,25.9,50.5,2025-07-03T13:33:59Z,7.652729669506323e-05,0.0330524234674038,,0.1274416151285921,2025-06-23 to 2025-07-03
Haryana,28.4595,77.0266,35.5,40.2,2025-07-03T13:34:00Z,0.0001254883918355,0.03956615503963,2.791264820068429e-05,0.1273318212294333,2025-06-23 to 2025-07-03
Himachal Pradesh,31.1048,77.1734,5.8,6.1,2025-07-03T13:34:00Z,7.80785348853243e-05,0.0297353334019923,,0.1259766520271496,2025-06-23 to 2025-07-03
Jammu and Kashmir,34.0837,74.7973,34.0,34.9,2025-07-03T13:34:01Z,8.291314102452022e-05,0.0332902539093727,9.775127232206725e-05,0.1261295394240438,2025-06-23 to 2025-07-03
Jharkhand,23.3441,85.3096,7.8,7.8,2025-07-03T13:34:01Z,8.052833921674956e-05,0.0344453056960548,-7.379783251776757e-06,0.1270279900109828,2025-06-23 to 2025-07-03
Karnataka,12.9716,77.5946,4.1,7.0,2025-07-03T13:34:02Z,7.742243749851031e-05,0.0252812237344057,-5.712221294618751e-05,0.1246091903053067,2025-06-23 to 2025-07-03
Kerala,8.5241,76.9366,10.9,20.7,2025-07-03T13:34:03Z,4.060260202202014e-05,0.0258156122657344,3.844825597922858e-05,0.1252614471076196,2025-06-23 to 2025-07-03
Ladakh,34.1526,77.577,7.3,10.2,2025-07-03T13:34:03Z,7.532539020589628e-05,0.0206964533738264,-2.90632737798276e-05,0.1228023778873697,2025-06-23 to 2025-07-03
Lakshadweep,10.5667,72.642,10.9,24.9,2025-07-03T13:34:04Z,4.285240369646658e-05,0.0246874217665851,6.140323476024665e-06,0.1259406548261246,2025-06-23 to 2025-07-03
Madhya Pradesh,23.2599,77.4126,17.8,26.8,2025-07-03T13:34:04Z,7.43145535959597e-05,0.0314965181286644,,0.1263649686067427,2025-06-23 to 2025-07-03
Maharashtra,19.076,72.8777,15.7,41.7,2025-07-03T13:34:05Z,6.434301499463679e-05,0.0303571700528221,-2.147578792536057e-05,0.1261406532190691,2025-06-23 to 2025-07-03
Manipur,24.817,93.9368,16.9,17.1,2025-07-03T13:34:06Z,5.040025890384582e-05,0.0295272428392966,4.178612623642907e-06,0.126342478264687,2025-06-23 to 2025-07-03
Meghalaya,25.5788,91.8933,1.6,1.7,2025-07-03T13:34:06Z,4.040828712747752e-05,0.0276998836431184,-7.246014501756441e-05,0.1259069269367957,2025-06-23 to 2025-07-03
Mizoram,23.7271,92.7176,5.9,6.5,2025-07-03T13:34:07Z,5.23827341973689e-05,0.0288779694096295,1.0682653221960945e-06,0.125830187151336,2025-06-23 to 2025-07-03
Nagaland,25.6751,94.1086,2.8,2.9,2025-07-03T13:34:07Z,5.495940525774371e-05,0.0276443982859216,0.0001294486289831,0.1263438226010136,2025-06-23 to 2025-07-03
Odisha,20.2961,85.8245,15.9,25.8,2025-07-03T13:34:08Z,8.405062512753751e-05,0.0352048337760738,8.050527939468016e-08,0.1259902576295495,2025-06-23 to 2025-07-03
Puducherry,11.9416,79.8083,8.8,17.1,2025-07-03T13:34:09Z,8.816075707701745e-05,0.0283290137473805,3.0458920141834056e-05,0.1256881982280667,2025-06-23 to 2025-07-03
Punjab,30.7333,76.7794,20.5,20.7,2025-07-03T13:34:09Z,9.828396586147388e-05,0.0409836087404638,5.162722014148506e-05,0.1283788237744786,2025-06-23 to 2025-07-03
Rajasthan,26.9124,75.7873,24.3,39.7,2025-07-03T13:34:10Z,9.494265755567724e-05,0.036023717131198,-2.0518019781013865e-05,0.1270654141418545,2025-06-23 to 2025-07-03
Sikkim,27.3314,88.6138,5.1,5.3,2025-07-03T13:34:10Z,5.939113890498031e-05,0.0269503615685895,,0.125182536320533,2025-06-23 to 2025-07-03
Tamil Nadu,13.0827,80.2707,15.1,20.5,2025-07-03T13:34:11Z,7.961199173296654e-05,0.0276494860316137,9.584912519844738e-05,0.1256015717459978,2025-06-23 to 2025-07-03
Telangana,17.385,78.4867,4.3,6.8,2025-07-03T13:34:11Z,5.628846786130962e-05,0.0285577993685024,-2.0597104518257778e-06,0.1244995029646183,2025-06-23 to 2025-07-03
Tripura,23.8315,91.2868,6.1,7.0,2025-07-03T13:34:12Z,6.752300938383004e-05,0.0315585472838607,-3.893019040770029e-05,0.1265291161486369,2025-06-23 to 2025-07-03
Uttar Pradesh,26.8467,80.9462,32.9,33.2,2025-07-03T13:34:13Z,8.665656279945604e-05,0.0364710093435731,2.5396235447867832e-05,0.1268026858682739,2025-06-23 to 2025-07-03
Uttarakhand,30.3165,78.0322,9.3,9.5,2025-07-03T13:34:13Z,7.508674246924545e-05,0.0367808330858256,-0.0001008019616607,0.1260804397129449,2025-06-23 to 2025-07-03
West Bengal,22.5726,88.3639,15.5,18.0,2025-07-03T13:34:14Z,7.34515578090237e-05,0.0316208593028393,5.529857244444265e-05,0.126759598250321,2025-06-23 to 2025-07-03
